ID,FLAGBINARY,PHONE,MSTAT,RSTAT,KIDS,CARDI,CARDH2,AGE,TAD,BUREAU,SEARCH,phone1,PhoneWoe,MSgrouped,Married1,Married2,MSwoe,AgeBinned,AgeGrouped,Age_d_1,Age_d_2,Age_d_3,Age_d_4,Age_d_5,Age_d_6,Age_d_7,Age_d_8,AgeWoe,PRE_1,PRE_2,PRE_3
6414,1,1,1,3,2,0,0,40,4,0,0,1,.08,1,1,0,.47,7,6,0,0,0,0,0,1,0,0,.23,.893029265793429,.89811889782933,.89811889782933
6415,1,1,1,3,1,0,0,40,30,0,0,1,.08,1,1,0,.47,7,6,0,0,0,0,0,1,0,0,.23,.893029265793429,.89811889782933,.89811889782933
6417,1,1,4,1,0,0,0,65,545,0,0,1,.08,1,1,0,.47,10,10,0,0,0,0,0,0,0,1,1.13,.951837072995778,.957431462758646,.957431462758646
6418,1,1,1,3,1,0,0,26,15,0,0,1,.08,1,1,0,.47,3,3,0,0,1,0,0,0,0,0,-.28,.841580861924015,.849082943767813,.849082943767813
6419,1,1,2,3,0,0,0,67,13,0,0,1,.08,2,0,1,-.5,10,10,0,0,0,0,0,0,0,1,1.13,.935225016919551,.94595376791692,.94595376791692
6421,1,1,1,3,3,0,0,31,41,0,0,1,.08,1,1,0,.47,4,4,0,0,0,1,0,0,0,0,.03,.875146180519427,.880383261687306,.880383261687306
6422,1,1,2,3,0,0,0,33,6,0,0,1,.08,2,0,1,-.5,5,5,0,0,0,0,1,0,0,0,.47,.885242092656931,.89811638334343,.89811638334343
6423,1,1,1,3,4,0,0,34,12,0,0,1,.08,1,1,0,.47,5,5,0,0,0,0,1,0,0,0,.47,.91348688598486,.918882040210863,.918882040210863
6424,1,1,3,3,0,0,0,71,182,0,0,1,.08,3,0,0,-.06,10,10,0,0,0,0,0,0,0,1,1.13,.922203838855408,.933723727243627,.933723727243627
6425,1,1,1,3,0,0,0,27,26,0,0,1,.08,1,1,0,.47,3,3,0,0,1,0,0,0,0,0,-.28,.841580861924015,.849082943767813,.849082943767813
6427,0,1,2,3,0,0,0,28,5,0,0,1,.08,2,0,1,-.5,3,3,0,0,1,0,0,0,0,0,-.28,.795125309967657,.814064783319128,.814064783319128
6430,1,1,2,3,0,0,0,28,8,0,0,1,.08,2,0,1,-.5,3,3,0,0,1,0,0,0,0,0,-.28,.795125309967657,.814064783319128,.814064783319128
6432,1,1,5,3,0,0,0,25,29,0,0,1,.08,3,0,0,-.06,2,2,0,1,0,0,0,0,0,0,-.69,.688651963987391,.708115225563294,.708115225563294
6433,1,1,1,1,1,0,0,33,65,0,0,1,.08,1,1,0,.47,5,5,0,0,0,0,1,0,0,0,.47,.91348688598486,.918882040210863,.918882040210863
6434,1,1,1,3,2,0,0,33,126,0,0,1,.08,1,1,0,.47,5,5,0,0,0,0,1,0,0,0,.47,.91348688598486,.918882040210863,.918882040210863
6435,1,1,2,5,0,0,0,22,48,1,1,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.688023980116284,.702259393433892,.702259393433892
6436,1,1,1,1,0,0,0,56,95,0,0,1,.08,1,1,0,.47,9,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.930069410530946,.930069410530946
6437,1,1,1,1,1,0,0,37,228,0,0,1,.08,1,1,0,.47,6,6,0,0,0,0,0,1,0,0,.23,.893029265793429,.89811889782933,.89811889782933
6438,1,1,1,1,2,0,0,37,101,0,0,1,.08,1,1,0,.47,6,6,0,0,0,0,0,1,0,0,.23,.893029265793429,.89811889782933,.89811889782933
6440,1,1,2,3,0,0,0,38,1,0,0,1,.08,2,0,1,-.5,6,6,0,0,0,0,0,1,0,0,.23,.859135408570823,.872773947519358,.872773947519358
6441,1,1,1,1,0,0,1,54,245,0,0,1,.08,1,1,0,.47,9,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.930069410530946,.930069410530946
6442,1,1,1,1,2,0,0,32,101,0,0,1,.08,1,1,0,.47,5,5,0,0,0,0,1,0,0,0,.47,.91348688598486,.918882040210863,.918882040210863
6444,0,1,2,3,0,0,0,24,72,0,0,1,.08,2,0,1,-.5,2,2,0,1,0,0,0,0,0,0,-.69,.729288976705409,.750869111472505,.750869111472505
6446,1,1,2,3,0,0,0,21,1,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.688023980116284,.702259393433892,.702259393433892
6447,1,0,1,3,3,0,0,30,44,0,0,0,-.79,1,1,0,.47,4,4,0,0,0,1,0,0,0,0,.03,.875146180519427,.747183313369458,.747183313369458
6448,1,1,1,3,3,0,0,41,48,0,0,1,.08,1,1,0,.47,7,6,0,0,0,0,0,1,0,0,.23,.893029265793429,.89811889782933,.89811889782933
6449,0,1,2,5,0,0,0,21,36,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.688023980116284,.702259393433892,.702259393433892
6450,1,1,2,5,0,0,0,22,48,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.688023980116284,.702259393433892,.702259393433892
6451,1,1,5,3,0,0,0,23,41,0,0,1,.08,3,0,0,-.06,2,2,0,1,0,0,0,0,0,0,-.69,.688651963987391,.708115225563294,.708115225563294
6452,1,1,1,3,0,0,0,23,5,0,0,1,.08,1,1,0,.47,2,2,0,1,0,0,0,0,0,0,-.69,.786667677574701,.794788973523434,.794788973523434
6454,1,1,1,1,2,0,0,33,50,0,0,1,.08,1,1,0,.47,5,5,0,0,0,0,1,0,0,0,.47,.91348688598486,.918882040210863,.918882040210863
6455,1,1,2,3,0,0,0,33,180,0,0,1,.08,2,0,1,-.5,5,5,0,0,0,0,1,0,0,0,.47,.885242092656931,.89811638334343,.89811638334343
