ID,FLAGBINARY,PHONE,MSTAT,RSTAT,KIDS,CARDI,CARDH2,AGE,TAD,BUREAU,SEARCH,phone1,PhoneWoe,MSgrouped,Married1,Married2,MSwoe,AgeBinned,AgeGrouped,Age_d_1,Age_d_2,Age_d_3,Age_d_4,Age_d_5,Age_d_6,Age_d_7,Age_d_8,AgeWoe,PRE_3,PRE_4,PRE_1,PRE_2
4145,0,1,2,3,0,0,0,19,4,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.702259393433892,.699702049693243,.698252350148401,.717149363502374
4146,1,1,4,3,0,0,0,49,244,0,0,1,.08,1,1,0,.47,9,8,0,0,0,0,0,0,1,0,.64,.930069410530946,.926372878426986,.935448393872283,.934399901338745
4148,1,1,1,3,3,0,0,38,16,0,0,1,.08,1,1,0,.47,6,6,0,0,0,0,0,1,0,0,.23,.89811889782933,.897043271306482,.898462974656376,.887789953312843
4150,1,1,2,5,0,0,0,18,0,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.702259393433892,.699702049693243,.698252350148401,.717149363502374
4151,0,1,1,3,0,0,0,65,508,0,0,1,.08,1,1,0,.47,10,10,0,0,0,0,0,0,0,1,1.13,.957431462758646,.951266729181168,.96948587802397,.9901044733697
4152,1,1,4,2,0,0,0,64,232,0,0,1,.08,1,1,0,.47,10,10,0,0,0,0,0,0,0,1,1.13,.957431462758646,.951266729181168,.96948587802397,.9901044733697
4153,1,1,1,5,0,0,0,25,84,0,0,1,.08,1,1,0,.47,2,2,0,1,0,0,0,0,0,0,-.69,.794788973523434,.79252822772002,.77502521433727,.783201777254723
4155,1,1,2,3,0,0,0,21,24,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.702259393433892,.699702049693243,.698252350148401,.717149363502374
4156,1,1,4,3,0,0,0,38,160,0,0,1,.08,1,1,0,.47,6,6,0,0,0,0,0,1,0,0,.23,.89811889782933,.897043271306482,.898462974656376,.887789953312843
4158,1,1,1,1,2,0,0,36,29,0,0,1,.08,1,1,0,.47,6,6,0,0,0,0,0,1,0,0,.23,.89811889782933,.897043271306482,.898462974656376,.887789953312843
4159,1,1,2,3,0,1,0,24,12,0,0,1,.08,2,0,1,-.5,2,2,0,1,0,0,0,0,0,0,-.69,.750869111472505,.742878297166062,.747359478525976,.744433235517536
4162,1,1,2,5,0,0,0,20,24,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.702259393433892,.699702049693243,.698252350148401,.717149363502374
4163,1,1,2,3,0,0,0,27,108,0,0,1,.08,2,0,1,-.5,3,3,0,0,1,0,0,0,0,0,-.28,.814064783319128,.806659812892054,.81289035011903,.791043183543438
4164,1,1,2,3,0,0,0,21,0,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.702259393433892,.699702049693243,.698252350148401,.717149363502374
4165,1,1,1,3,2,0,1,41,4,0,0,1,.08,1,1,0,.47,7,6,0,0,0,0,0,1,0,0,.23,.89811889782933,.897043271306482,.898462974656376,.887789953312843
4166,1,1,2,5,0,0,0,19,13,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.702259393433892,.699702049693243,.698252350148401,.717149363502374
4167,1,1,3,3,2,0,0,33,12,0,0,1,.08,3,0,0,-.06,5,5,0,0,0,0,1,0,0,0,.47,.876474856404263,.902676047074065,.87429691403084,.893891013863357
4168,1,1,1,1,0,0,0,48,360,0,0,1,.08,1,1,0,.47,9,8,0,0,0,0,0,0,1,0,.64,.930069410530946,.926372878426986,.935448393872283,.934399901338745
4169,1,1,1,3,0,0,0,35,8,0,0,1,.08,1,1,0,.47,6,6,0,0,0,0,0,1,0,0,.23,.89811889782933,.897043271306482,.898462974656376,.887789953312843
4170,1,1,2,3,0,0,0,24,0,0,0,1,.08,2,0,1,-.5,2,2,0,1,0,0,0,0,0,0,-.69,.750869111472505,.742878297166062,.747359478525976,.744433235517536
4171,1,1,1,2,3,1,0,39,52,0,0,1,.08,1,1,0,.47,7,6,0,0,0,0,0,1,0,0,.23,.89811889782933,.897043271306482,.898462974656376,.887789953312843
4172,1,1,2,3,0,0,0,24,0,0,0,1,.08,2,0,1,-.5,2,2,0,1,0,0,0,0,0,0,-.69,.750869111472505,.742878297166062,.747359478525976,.744433235517536
4175,0,1,2,3,0,0,0,20,9,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.702259393433892,.699702049693243,.698252350148401,.717149363502374
4177,1,1,2,1,0,0,0,35,204,0,0,1,.08,2,0,1,-.5,6,6,0,0,0,0,0,1,0,0,.23,.872773947519358,.868246760779003,.870797238845082,.849021411575657
4178,1,1,1,3,2,0,0,38,76,0,0,1,.08,1,1,0,.47,6,6,0,0,0,0,0,1,0,0,.23,.89811889782933,.897043271306482,.898462974656376,.887789953312843
4179,1,1,1,3,0,0,0,62,1,0,0,1,.08,1,1,0,.47,10,10,0,0,0,0,0,0,0,1,1.13,.957431462758646,.951266729181168,.96948587802397,.9901044733697
4180,1,1,1,3,0,1,0,53,256,0,0,1,.08,1,1,0,.47,9,8,0,0,0,0,0,0,1,0,.64,.930069410530946,.926372878426986,.935448393872283,.934399901338745
4182,1,1,1,3,1,0,0,44,97,0,0,1,.08,1,1,0,.47,8,8,0,0,0,0,0,0,1,0,.64,.930069410530946,.926372878426986,.935448393872283,.934399901338745
4184,1,1,3,3,0,0,0,58,40,0,0,1,.08,3,0,0,-.06,10,10,0,0,0,0,0,0,0,1,1.13,.933723727243627,.943686119247139,.920508302577026,.968921661905052
4185,1,1,2,5,0,0,0,35,204,0,0,1,.08,2,0,1,-.5,6,6,0,0,0,0,0,1,0,0,.23,.872773947519358,.868246760779003,.870797238845082,.849021411575657
4186,1,1,1,3,0,0,0,22,2,0,0,1,.08,1,1,0,.47,1,1,1,0,0,0,0,0,0,0,-.93,.751917458668046,.754938959783941,.725918085959695,.755917905239561
4187,0,1,2,3,0,1,0,22,16,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.702259393433892,.699702049693243,.698252350148401,.717149363502374
4190,1,1,1,3,2,1,0,31,69,0,0,1,.08,1,1,0,.47,4,4,0,0,0,1,0,0,0,0,.03,.880383261687306,.879270767198973,.878118767936741,.865053393300208
4191,1,0,2,3,0,1,0,34,26,0,0,0,-.79,2,0,1,-.5,5,5,0,0,0,0,1,0,0,0,.47,.779722478709867,.766162596564389,.75915703409656,.739186310839963
4193,1,1,1,3,1,0,0,42,268,0,0,1,.08,1,1,0,.47,8,8,0,0,0,0,0,0,1,0,.64,.930069410530946,.926372878426986,.935448393872283,.934399901338745
4195,1,1,2,2,0,0,0,19,21,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.702259393433892,.699702049693243,.698252350148401,.717149363502374
4196,1,1,1,5,2,0,0,31,124,0,0,1,.08,1,1,0,.47,4,4,0,0,0,1,0,0,0,0,.03,.880383261687306,.879270767198973,.878118767936741,.865053393300208
4197,0,1,2,5,0,0,0,19,12,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.702259393433892,.699702049693243,.698252350148401,.717149363502374
4198,1,1,2,1,0,0,0,40,136,0,0,1,.08,2,0,1,-.5,7,6,0,0,0,0,0,1,0,0,.23,.872773947519358,.868246760779003,.870797238845082,.849021411575657
4199,1,1,2,3,1,0,0,33,89,1,1,1,.08,2,0,1,-.5,5,5,0,0,0,0,1,0,0,0,.47,.89811638334343,.890966188090953,.89560875366649,.876305283590819
4200,1,1,3,3,0,0,0,49,184,0,0,1,.08,3,0,0,-.06,9,8,0,0,0,0,0,0,1,0,.64,.892828673296522,.915264884213144,.886470818425339,.913217089874097
4201,1,1,2,3,0,0,0,25,84,0,0,1,.08,2,0,1,-.5,2,2,0,1,0,0,0,0,0,0,-.69,.750869111472505,.742878297166062,.747359478525976,.744433235517536
4204,1,1,1,1,1,0,0,45,244,0,0,1,.08,1,1,0,.47,8,8,0,0,0,0,0,0,1,0,.64,.930069410530946,.926372878426986,.935448393872283,.934399901338745
4206,1,1,1,3,0,0,0,46,208,0,0,1,.08,1,1,0,.47,8,8,0,0,0,0,0,0,1,0,.64,.930069410530946,.926372878426986,.935448393872283,.934399901338745
4207,0,1,1,3,2,0,0,34,81,0,0,1,.08,1,1,0,.47,5,5,0,0,0,0,1,0,0,0,.47,.918882040210863,.915281569320099,.923274489477784,.915073825328005
4208,0,0,2,3,0,0,0,20,6,0,0,0,-.79,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.486418720687855,.483006399273922,.561800630578472,.580030390751519
4210,1,1,2,3,0,0,0,26,96,0,0,1,.08,2,0,1,-.5,3,3,0,0,1,0,0,0,0,0,-.28,.814064783319128,.806659812892054,.81289035011903,.791043183543438
4211,0,1,2,3,0,0,0,48,76,0,0,1,.08,2,0,1,-.5,9,8,0,0,0,0,0,0,1,0,.64,.91189304171482,.904910135077739,.907782658060989,.895631359601558
